id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
27,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,907170.863,907226.859,55.99600000004284,1164.925,206.37,199.305,23.970000000000027,7.064999999999998,14.526170214749342,5.1091369711878665,33.31162415275247,11.87413962995822,1188.895,16.10726601239721,33.52559275417856,24.989500295123975
28,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,907430.823,907462.815,31.991999999969266,1183.825,210.67000000000002,214.74,27.6099999999999,4.069999999999993,25.22843516919317,4.966745385315674,65.45578355572543,12.20306316505858,1211.435,26.155804617881298,65.45631247585652,27.908367920750837
29,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,907710.721,907734.691,23.96999999997206,1224.035,213.54,206.3,32.309999999999945,7.239999999999981,41.22245940623679,8.231321766421027,121.39553341117796,26.076827356021575,1256.345,44.341602153790035,121.39682380409762,33.111232233186314
30,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,908790.7,908814.698,23.99800000002142,1284.295,207.055,207.68,34.6099999999999,0.625,38.38035776247509,3.6337841284178882,100.48614008177813,8.1881484837466,1318.905,39.174858797414785,100.48829340427393,34.61564277895173
31,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,908970.689,908998.688,27.998999999952503,1327.145,200.88,195.60500000000002,26.889999999999873,5.274999999999977,37.018666405116065,8.103982824677612,98.45508658769843,14.469017400997883,1354.0349999999999,39.57372374441501,98.6250499078163,27.40251311467605
32,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,909278.551,909310.522,31.971000000019558,1359.04,200.26,197.675,17.585000000000036,2.5849999999999795,22.072086843384568,7.122092618479159,55.385530707208424,17.34728403458947,1376.625,24.31885873233491,55.386322624831905,17.773982389999187
33,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,909878.623,909950.602,71.97899999993388,1381.685,286.72,203.76999999999998,963.295,82.95000000000005,352.06958946780395,31.008477407619996,498.97700327208173,78.1388792741508,418.39,354.4631541271349,498.9936725001783,966.8598448198167
34,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,910070.546,910098.543,27.996999999973923,391.53,302.90999999999997,297.135,81.54999999999995,5.774999999999977,80.67112141001901,5.492271216839122,235.27900491160926,8.648526310141946,309.98,81.3199664179784,235.3576818729199,81.75422389699503
35,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,911026.341,911086.368,60.02700000000186,306.71000000000004,311.04499999999996,315.5,21.654999999999973,4.455000000000041,10.039437200141894,6.953819882671803,31.52799910793256,20.256624361397037,328.365,13.299109045602071,36.31240787089711,22.108506281519773
36,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,911946.459,912034.479,88.02000000001863,299.14,303.77,307.745,32.05500000000001,3.9750000000000227,188.5447596862123,193.4343551216897,2048.72817560902,2098.5680574105068,331.195,270.6713849707162,2932.793042326371,32.300520893632665
37,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,912630.285,912654.285,24.0,328.145,305.17,301.135,25.335000000000036,4.035000000000025,27.77064817077908,5.3327098224134595,55.705716993842316,12.331548921305078,353.48,30.32689266394063,55.72715355525849,25.654306655998365
38,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,913050.267,913090.288,40.02099999994971,363.475,316.96,319.0,44.17500000000001,2.0400000000000205,38.05058340626455,6.38927413048479,98.5373544328383,14.954801956951991,319.3,38.96303938882728,98.53858778598301,44.22207847896796
39,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,913882.101,913894.107,12.005999999935739,332.34,297.15999999999997,302.03499999999997,22.875000000000057,4.875,50.12323732824506,10.682001397822694,82.26784461153935,13.903035665473903,355.21500000000003,51.322478411670964,83.43436137314065,23.38869919426907
40,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,914170.084,914226.041,55.95699999993667,368.75,310.21500000000003,316.69,67.57000000000005,6.474999999999966,33.94444139316908,5.366568174080062,143.9760527890893,14.644421369404698,436.32000000000005,35.27142721727471,144.04559957920128,67.87952949895872
41,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,915689.99,915721.985,31.994999999995343,405.175,299.70000000000005,296.7,33.18000000000001,3.000000000000057,28.663030056926875,4.974511064405196,98.97309181580074,9.144074285407878,438.355,29.71716880231673,99.10772334834473,33.31534781448335
42,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,916394.009,916410.003,15.994000000064261,465.365,284.04499999999996,291.45,16.125,7.40500000000003,26.521712242360067,12.17990564842855,47.92415911592555,14.93686365914281,481.49,29.71209197924313,49.53560050750709,17.744003212353192
